id,days_since_release,days_until_pop,days_from_pop_to_top,days_from_top_until_leave
0EPxmvsG1BY5td4aTOkWBF,1184,17,0,406
2wFnRPjuqwNySFiK0Qfg8L,1470,303,0,406
45wqPwIH4A5cr2IyyD4WKf,1288,121,0,408
6zCqeUUqLb2CapBmVwAHll,1274,107,0,408
2CW04trIoYMbroZWDzPAjs,1470,303,1,412
7BKLCZ1jbUBVqRi2FVlTVw,1323,156,1,443
2DAGCHu5aoo2FOjmtU9ojo,1415,248,0,203
38MpAndIjGAyVdcC6npX95,1470,303,0,365
7DRP2VOMpy1rrk3iYFLCW9,1362,195,0,105
6DNtNfH8hXkqOX1sjqmI7p,1330,163,4,266
4pdPtRcBmOSQDlJ3Fk945m,1316,149,4,289
2Gvn46nwyQhUnQiFhlP7WX,1470,303,0,441
6vve9WKW5I7fQzkU8dNsUE,1022,-145,55,358
2GfxgssRHvY1azHtaRqKoK,1484,317,78,412
4aAq1afusFG6jRiOSHQZvN,1253,86,56,193
12wiyBZqQ3mOU7AfygXJCw,1330,163,0,406
5SnQDj5REQVvAdSlhqkEcE,1071,-96,56,350
1vvNmPOiUuyCbgWmtc6yfm,1274,107,19,231
0Zu7NVn4IvfYuEIrD11UVr,1456,289,0,252
4pLwZjInHj3SimIyN9SnOz,1393,226,4,341
4SCH5CuivFcShLpTg8lYOf,1414,247,0,119
2InJDvDcA4RXEeA9njdibl,1484,317,3,355
6mICuAdrwEjh6Y6lroV2Kg,1022,-145,38,314
0GR7ZABhVF9GbxghIx2RRv,1456,289,0,252
69bp2EbF7Q2rqc5N3ylezZ,1582,415,0,219
62LiYpeFoJaixqkaNRGg47,1638,471,0,76
0phVJ23NJlruwtt1XCm94N,1456,289,1,195
27SdWb2rFzO6GWiYDBTD9j,1505,338,2,363
4lbPwb1Beo7JU2VwuJRTeR,1865,698,0,143
1OtZIaJBXo3Pe6nfaMsjKT,1809,642,0,105
0azC730Exh71aQlOt9Zj3y,1414,247,1,185
6JV2JOEocMgcZxYSZelKcc,1407,240,12,388
3EmmCZoqpWOTY1g2GBwJoR,1189,22,25,322
1Cml3fnCNLZUC1EEtkcgVb,1613,446,0,365
4owo0j5bw45IqiHxsTzcd6,1708,541,4,159
3NdDpSvN911VPGivFlV5d0,1190,23,43,371
6fujklziTHa8uoM5OQSfIo,1309,142,2,51
0Or4rCFurYpUxYh0bbpxRY,1305,138,56,175
6m2LNopVJKsvBB9l7Z1rwn,1184,17,34,428
3CRDbSIZ4r5MsZ0YwxuEkn,1764,597,19,809
6i0V12jOa3mr6uu4WYhUBr,1366,199,16,118
3hB5DgAiMAQ4DzYbsMq1IT,1582,415,88,146
4WjH9Bzt3kx7z8kl0awxh4,1750,583,0,124
4gvePWCd0GfkC40QshflUy,1374,207,55,209
77VvA3wNFxm1P9amCKlVHQ,1866,699,0,7
2Z8WuEywRWYTKe1NybPQEW,1764,597,1,826
0gNxi721t2RcPt5LdWGfpb,1589,422,57,41
0P3k6Jipqv1UWX0a4GmUuj,1928,761,0,0
22mek4IiqubGD9ctzxc69s,1701,534,0,21
4bftZ7IayYg0I6qQNk4ecK,1568,401,0,0
4DYmJ19DhmxUe26QhANDYv,1470,303,21,47
6fxVffaTuwjgEk5h9QyRjy,NA,NA,9,994
0prNGof3XqfTvNDxHonvdK,1582,415,22,115
3twpVbHfTCpgHNlStxfpzx,1120,-47,249,74
0PDUDa38GO8lMxLCRc4lL1,1449,282,1,116
19Ggp86mkEnRw93u91IJPO,1288,121,7,98
2loApP0kPaim0BTDVP9F26,2110,943,352,215
1WP1r7fuvRqZRnUaTi2I1Q,1796,629,260,29
6gquljDBW7rE6mCBzmTRxo,1071,-96,249,367
50BLTf1U0LHzxYc4M6clwC,1718,551,0,0
4PdJSsESm34djLfBde9Pr2,1260,93,3,37
5uCax9HTNlzGybIStD3vDh,1232,65,37,855
2655xYZ347fG2N6OjkoMQ8,1817,650,7,21
4ksSf8cL3VlUvQSkFcRHy3,2104,937,133,25
2N1ksfnRHLmKlTNHwuaGvF,1470,303,0,7
2WTCoQLkQ9FPdvThkf8nN1,1295,128,37,328
5tf1VVWniHgryyumXyJM7w,1631,464,1,10
3rUEaYVs7O66ye34bhYSBR,1547,380,105,35
07SFuH5wrvcqQMDcuouqhM,1190,23,56,2
1Slwb6dOYkBlWal1PGtnNg,NA,NA,5,887
3RYV8juwSUclgwNiwmESlb,1218,51,0,0
5qLTGDTTIHxxIU835qJWfT,2734,1567,10,830
7MnT7msJZg3XBAS0OTfGrB,12490,11323,273,889
0bX2gnECXZJ5nt7rcIZMVM,1487,320,10,50
7yHEDfrJNd0zWOfXwydNH0,1393,226,3,182
1a5Yu5L18qNxVhXx38njON,1533,366,22,642
4FxumkF81ICxITeqxx4nK9,1324,157,0,408
0jIitZeIQRTaZgFQf2WpGK,1477,310,0,529
2d3TbSkAscvT3QRQalq6uT,1099,-68,23,446
5aAx2yezTd8zXrkmtKl66Z,1204,37,2,456
6SwI4OplF8m5NH8wHKIps8,1477,310,0,365
000xYdQfIZ4pDmBGzQalKU,1225,58,3,144
41mt7YrfLrIc4EQJZFCJtw,1456,289,0,358
